N_OBS,dim,seed,eps,alg,dt,sampling_steps,sw,sw_norm
4,2,1,0.0,Langevin,12.566318035125732,1000,0.6583445072174072,0.6048146106302739
4,2,1,0.0,GAUSS,0.33794498443603516,50,0.08420932292938232,0.03067942634224892
4,2,1,0.0,GAUSS,0.7292180061340332,150,0.05104244127869606,-0.0024874553084373446
4,2,1,0.0,GAUSS,1.7258172035217285,400,0.04867647960782051,-0.004853416979312894
4,2,1,0.0,GAUSS,3.9611995220184326,1000,0.050329264253377914,-0.0032006323337554904
4,2,1,0.0,JAC,0.3519010543823242,50,0.08665589988231659,0.033126003295183185
4,2,1,0.0,JAC,1.0568010807037354,150,0.0772065594792366,0.023676662892103198
4,2,1,0.0,JAC,2.824368476867676,400,0.06343968212604523,0.009909785538911822
4,2,1,0.0,JAC,7.055444240570068,1000,0.03946000710129738,-0.014069889485836026
8,2,1,0.0,Langevin,0.6292662620544434,50,0.4127642810344696,0.3815891470760107
8,2,1,0.0,Langevin,1.8901619911193848,150,0.35378894209861755,0.32261380814015866
8,2,1,0.0,Langevin,5.030490875244141,400,0.387559175491333,0.3563840415328741
8,2,1,0.0,Langevin,12.582457304000854,1000,0.3366256058216095,0.3054504718631506
8,2,1,0.0,GAUSS,0.33779287338256836,50,0.03223928436636925,0.0010641504079103477
8,2,1,0.0,GAUSS,0.7345144748687744,150,0.026032807305455208,-0.005142326653003692
8,2,1,0.0,GAUSS,1.6697840690612793,400,0.03948033228516579,0.008305198326706887
8,2,1,0.0,GAUSS,3.9541947841644287,1000,0.029256245121359825,-0.0019188888370990746
8,2,1,0.0,JAC,0.3506457805633545,50,0.04358818009495735,0.012413046136498452
8,2,1,0.0,JAC,1.0570895671844482,150,0.023117583245038986,-0.008057550713419914
8,2,1,0.0,JAC,2.825259208679199,400,0.028775833547115326,-0.002399300411343574
8,2,1,0.0,JAC,7.146075963973999,1000,0.03307042643427849,0.0018952924758195884
16,2,1,0.0,Langevin,0.626352071762085,50,0.2252722531557083,0.19535657875239848
16,2,1,0.0,Langevin,1.8856029510498047,150,0.1798999160528183,0.14998424164950847
16,2,1,0.0,Langevin,5.0325634479522705,400,0.18069462478160858,0.15077895037829875
16,2,1,0.0,Langevin,17.41223955154419,1000,0.20462185144424438,0.17470617704093455
16,2,1,0.0,GAUSS,0.33531856536865234,50,0.030862458050251007,0.0009467836469411843
16,2,1,0.0,GAUSS,0.7368566989898682,150,0.02727743238210678,-0.0026382420212030418
16,2,1,0.0,GAUSS,1.716825246810913,400,0.02812528796494007,-0.0017903864383697517
16,2,1,0.0,GAUSS,3.8683338165283203,1000,0.02200007624924183,-0.007915598154067994
16,2,1,0.0,JAC,0.35227060317993164,50,0.04840831458568573,0.018492640182375907
16,2,1,0.0,JAC,1.0680885314941406,150,0.025036297738552094,-0.004879376664757729
16,2,1,0.0,JAC,2.810853958129883,400,0.029839178547263145,-7.649585604667733e-05
16,2,1,0.0,JAC,8.171752691268921,1000,0.03216845542192459,0.0022527810186147683
32,2,1,0.0,Langevin,0.8690845966339111,50,,
32,2,1,0.0,Langevin,2.6071577072143555,150,0.09817460924386978,0.07876351065933704
32,2,1,0.0,Langevin,5.049208402633667,400,0.09885448217391968,0.07944338358938693
32,2,1,0.0,Langevin,12.615148305892944,1000,0.086341492831707,0.06693039424717426
32,2,1,0.0,GAUSS,0.4739081859588623,50,0.028622623533010483,0.009211524948477746
32,2,1,0.0,GAUSS,1.0302937030792236,150,0.018532954156398773,-0.0008781444281339632
32,2,1,0.0,GAUSS,2.3220937252044678,400,0.01800698973238468,-0.0014041088521480546
32,2,1,0.0,GAUSS,4.087058782577515,1000,0.016391856595873833,-0.0030192419886589036
32,2,1,0.0,JAC,0.44579553604125977,50,0.0416288748383522,0.022217776253819467
32,2,1,0.0,JAC,1.3252968788146973,150,0.02366596832871437,0.004254869744181634
32,2,1,0.0,JAC,3.1421706676483154,400,0.019060669466853142,-0.00035042911767959456
32,2,1,0.0,JAC,7.267048358917236,1000,0.022771170362830162,0.0033600717782974257
64,2,1,0.0,Langevin,0.6350581645965576,50,,
64,2,1,0.0,Langevin,1.9058635234832764,150,0.06263862550258636,0.04785286206752062
